trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.7839851260833199}",30,0,-105.93517819293201,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.78163317070507}",25,0,-106.57893137553494,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.7792882711929549}",25,0,-178.38419187913533,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
85,False,"{'a': 0.5, 'e': 0.776950406379376}",20,0,-69.460978842944,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.7746195551602378}",25,0,-79.57332844643612,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.7722956964947572}",25,20,9.004978790784229,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.7699788094052729}",30,0,-85.62494555486116,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.767668872977057}",20,0,-50.01513735359465,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.7653658663581259}",20,0,-23.729794521874332,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.7630697687590514}",20,0,-101.84723051469041,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.7607805594527743}",20,0,-196.13167075692576,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
93,False,"{'a': 0.5, 'e': 0.7584982177744161}",20,11,-14.49406680860141,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.7562227231210927}",35,0,-140.684888945606,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.7539540549517295}",25,14,-35.330149301342345,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.7516921927868743}",25,0,-123.76229972852914,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.7494371162085136}",30,10,-121.24898613479725,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.7471888048598881}",20,0,-113.92087795962931,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.7449472384453084}",20,1,-55.148430052576714,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.7427123967299725}",20,0,-237.11314914936787,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 5}",0
101,False,"{'a': 0.5, 'e': 0.7404842595397826}",25,7,-19.060376425175704,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.7382628067611632}",20,0,-33.43105622043195,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.7360480183408797}",20,0,-130.9765941335337,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.7338398742858572}",20,0,-73.3611395540172,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.7316383546629995}",20,0,-79.89766425826357,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.7294434395990106}",25,0,-41.12583955203553,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.7272551092802135}",30,6,-64.46348157068083,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.7250733439523729}",20,0,-61.32771443966071,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.7228981239205158}",30,0,-154.43302121253265,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.7207294295487542}",20,0,-55.838905606023545,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.718567241260108}",20,9,3.706133224728407,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.7164115395363276}",25,0,-135.23992471632502,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",1
113,False,"{'a': 0.5, 'e': 0.7142623049177186}",20,11,-27.005910068129076,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.7121195180029655}",25,0,-169.94429979841524,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
115,False,"{'a': 0.5, 'e': 0.7099831594489566}",20,0,-94.91879204480058,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.7078532099706096}",20,7,-41.8699888608845,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.7057296503406979}",20,0,-89.11111060945034,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.7036124613896757}",20,0,-17.176298347463852,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.7015016240055068}",20,0,-68.30297340970002,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.6993971191334902}",20,0,-99.27463679006289,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.6972989277760897}",20,9,-52.46604132385337,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.6952070309927615}",35,0,-93.92558232582951,"{0: 24, 1: 5, 2: 4, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.6931214098997832}",20,0,-45.44466564011081,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
